日時,貯水位,貯水量,貯水率治水容量,貯水率利水容量,貯水率有効容量,全流入量,全放流量
2024-11-01 16:40:00,155.65,6751,0,98.8,79,4.15,4.15
2024-11-01 16:50:00,155.65,6751,0,98.8,79,4.15,4.14
2024-11-01 17:00:00,155.65,6751,0,98.8,79,4.15,4.16
2024-11-01 17:10:00,155.65,6751,0,98.8,79,4.15,4.15
2024-11-01 17:20:00,155.65,6751,0,98.8,79,4.15,4.15
2024-11-01 17:30:00,155.65,6751,0,98.8,79,4.15,4.15
2024-11-01 17:40:00,155.66,6757,0,98.9,79,8.77,4.16
2024-11-01 17:50:00,155.66,6757,0,98.9,79,8.81,4.89
2024-11-01 18:00:00,155.66,6757,0,98.9,79,4.74,4.89
2024-11-01 18:10:00,155.66,6757,0,98.9,79,4.89,4.88
2024-11-01 18:20:00,155.66,6757,0,98.9,79,4.89,4.9
2024-11-01 18:30:00,155.66,6757,0,98.9,79,4.89,4.89
2024-11-01 18:40:00,155.67,6762,0,98.9,79.1,9.5,4.9
2024-11-01 18:50:00,155.67,6762,0,98.9,79.1,9.51,4.89
2024-11-01 19:00:00,155.67,6762,0,98.9,79.1,4.89,4.89
2024-11-01 19:10:00,155.67,6762,0,98.9,79.1,5.7,6.37
2024-11-01 19:20:00,155.67,6762,0,98.9,79.1,6.37,6.37
2024-11-01 19:30:00,155.67,6762,0,98.9,79.1,6.37,6.36
2024-11-01 19:40:00,155.67,6762,0,98.9,79.1,6.37,6.37
2024-11-01 19:50:00,155.67,6762,0,98.9,79.1,6.37,6.37
2024-11-01 20:00:00,155.67,6762,0,98.9,79.1,6.37,6.37
2024-11-01 20:10:00,155.67,6762,0,98.9,79.1,6.37,6.37
2024-11-01 20:20:00,155.68,6768,0,99,79.2,9.14,6.37
2024-11-01 20:30:00,155.68,6768,0,99,79.2,13.9,8.58
2024-11-01 20:40:00,155.68,6768,0,99,79.2,8.56,8.58
2024-11-01 20:50:00,155.68,6768,0,99,79.2,8.57,8.57
2024-11-01 21:00:00,155.68,6768,0,99,79.2,8.57,8.57
2024-11-01 21:10:00,155.68,6768,0,99,79.2,8.7,10.77
2024-11-01 21:20:00,155.68,6768,0,99,79.2,10.31,10.76
2024-11-01 21:30:00,155.68,6768,0,99,79.2,10.77,10.77
2024-11-01 21:40:00,155.68,6768,0,99,79.2,10.77,10.76
2024-11-01 21:50:00,155.68,6768,0,99,79.2,10.77,10.77
2024-11-01 22:00:00,155.67,6762,0,98.9,79.1,5.23,10.76
2024-11-01 22:10:00,155.67,6762,0,98.9,79.1,7.07,10.76
2024-11-01 22:20:00,155.66,6757,0,98.9,79,9.84,10.74
2024-11-01 22:30:00,155.66,6757,0,98.9,79,2.45,10.74
2024-11-01 22:40:00,155.66,6757,0,98.9,79,10.75,10.75
2024-11-01 22:50:00,155.65,6751,0,98.8,79,5.22,10.75
2024-11-01 23:00:00,155.65,6751,0,98.8,79,7.06,10.75
2024-11-01 23:10:00,155.65,6751,0,98.8,79,10.75,10.75
2024-11-01 23:20:00,155.64,6746,0,98.7,78.9,1.52,10.74
2024-11-01 23:30:00,155.64,6746,0,98.7,78.9,10.33,7.81
2024-11-01 23:40:00,155.63,6740,0,98.6,78.8,0.89,7.8
2024-11-01 23:50:00,155.63,6740,0,98.6,78.8,7.03,7.81
2024-11-02 00:00:00,155.63,6740,0,98.6,78.8,7.81,7.81
2024-11-02 00:10:00,155.63,6740,0,98.6,78.8,5.8,4.15
2024-11-02 00:20:00,155.63,6740,0,98.6,78.8,4.15,4.15
2024-11-02 00:30:00,155.63,6740,0,98.6,78.8,4.15,4.15
2024-11-02 00:40:00,155.63,6740,0,98.6,78.8,4.15,4.15
2024-11-02 00:50:00,155.63,6740,0,98.6,78.8,4.15,4.15
2024-11-02 01:00:00,155.63,6740,0,98.6,78.8,4.15,4.15
2024-11-02 01:10:00,155.64,6746,0,98.7,78.9,11.53,4.15
2024-11-02 01:20:00,155.64,6746,0,98.7,78.9,5.99,4.15
2024-11-02 01:30:00,155.64,6746,0,98.7,78.9,4.35,4.88
2024-11-02 01:40:00,155.64,6746,0,98.7,78.9,4.86,4.88
2024-11-02 01:50:00,155.65,6751,0,98.8,79,6.73,4.89
2024-11-02 02:00:00,155.65,6751,0,98.8,79,12.6,5.62
2024-11-02 02:10:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 02:20:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 02:30:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 02:40:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 02:50:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 03:00:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 03:10:00,155.65,6751,0,98.8,79,5.62,5.63
2024-11-02 03:20:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 03:30:00,155.65,6751,0,98.8,79,5.62,5.61
2024-11-02 03:40:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 03:50:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 04:00:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 04:10:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 04:20:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 04:30:00,155.66,6757,0,98.9,79,11.16,5.62
2024-11-02 04:40:00,155.66,6757,0,98.9,79,9.32,5.63
2024-11-02 04:50:00,155.66,6757,0,98.9,79,5.74,6.36
2024-11-02 05:00:00,155.66,6757,0,98.9,79,6.29,6.36
2024-11-02 05:10:00,155.66,6757,0,98.9,79,6.36,6.37
2024-11-02 05:20:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 05:30:00,155.66,6757,0,98.9,79,6.36,6.35
2024-11-02 05:40:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 05:50:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 06:00:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 06:10:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 06:20:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 06:30:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 06:40:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 06:50:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 07:00:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 07:10:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 07:20:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 07:30:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 07:40:00,155.66,6757,0,98.9,79,6.36,6.36
2024-11-02 07:50:00,155.66,6757,0,98.9,79,6.51,7.08
2024-11-02 08:00:00,155.66,6757,0,98.9,79,7.05,7.09
2024-11-02 08:10:00,155.66,6757,0,98.9,79,7.09,7.09
2024-11-02 08:20:00,155.65,6751,0,98.8,79,5.67,7.09
2024-11-02 08:30:00,155.65,6751,0,98.8,79,1.42,7.1
2024-11-02 08:40:00,155.65,6751,0,98.8,79,7.09,7.09
2024-11-02 08:50:00,155.65,6751,0,98.8,79,6.63,5.62
2024-11-02 09:00:00,155.65,6751,0,98.8,79,5.64,5.62
2024-11-02 09:10:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 09:20:00,155.65,6751,0,98.8,79,5.62,5.62
2024-11-02 09:30:00,155.65,6751,0,98.8,79,5.62,5.62
